385,380,8570.29,8492.17
三姑娘,1,1393.78,-3412.37,null
东安郡王穆莳拜,2,-3919.26,-1446.91,null
东平郡王,3,-3808.81,-1566.92,null
丰儿,4,-812.204,2169.11,null
二姑娘,1,1549.01,-3604.98,null
于老爷,2,-3622.09,1938.96,null
五嫂子卜氏,3,-302.918,3449.44,null
伴鹤,4,1734.53,520.961,null
何三,1,2469.16,-1463.97,null
何婆,2,2147.37,2453.48,null
何春燕,3,2043.29,1978.42,null
佩凤,4,-2675.73,-342.744,null
佳蕙,1,2567.15,326.222,null
侍书,2,1137.16,-356.053,null
侯孝康,3,4070.29,-636.736,null
侯明,4,4005.89,-780.142,null
保宁侯之子,1,117.615,2436.06,null
倪二,2,-751.234,3191.74,null
倪二女儿,3,-989.793,3225.49,null
倪儿娘子,4,-862.84,2991.61,null
偕鸾,1,-2578.43,-565.855,null
傅秋芳,2,3771.88,-1050.82,null
傅试,3,3612.06,-1000.28,null
傻大姐,4,-178.865,-2352.87,null
傻大姐的娘,1,31.2814,-2374.54,null
先皇,2,-270.165,-3538.96,null
入画,3,-2715.31,-2513.06,null
兴儿,4,-982.75,1225.51,null
冯紫英,1,-1066.13,3935.8,null
冷子兴,2,2807.14,-1248.77,null
净虚,3,-3364.19,2006.71,null
凤姐之祖王夫人之父,4,245.771,953.822,null
刑大舅二姐,1,-627.556,-1253,null
刘姥姥,3,1302.21,2909.72,null
刘氏,4,1111.69,2791.15,null
北静王太妃,1,3130.54,-2784.14,null
北静王少妃,2,2633.97,-2983.31,null
北静郡王,3,2943.02,-2797.09,null
北静郡王长府官,4,2599.84,-2618.93,null
南安王太妃,1,2155.69,3150.22,null
南安郡王,2,2298.85,3267.87,null
南安郡王之孙,3,2371.77,3436.27,null
卜世仁,4,14.7366,3447.44,null
卜世仁娘子,1,270.326,3393.52,null
卜世仁店里伙计,2,-73.845,3667.9,null
卜银姐,3,178.548,3638.22,null
卫若兰,4,-2166.46,-3131.72,null
厨房中的柳家媳妇,1,3429.8,-108.43,null
双寿,2,2326.14,1010.04,null
双瑞,3,2199.2,1389.64,null
史侯,4,-1039.08,-2786.24,null
史湘云,1,-2070.88,-3336.29,null
史湘云爷爷,2,-1396.99,-3066.11,null
史鼎,3,-1390.78,-3347.7,null
史鼎的夫人,4,-1327.29,-3536.12,null
史鼐,1,-1210.43,-3147.98,null
叶茗烟,2,3197.34,1058.9,null
同喜,3,-478.404,852.655,null
同贵,4,-590.719,493.587,null
吴天佑,1,614.842,-3291.1,null
吴贵,2,3242.29,1935.84,null
吴贵妃,3,570.329,-3082.95,null
周奶妈,4,-2242.3,-3507.52,null
周妈妈,1,-1969.51,2409.25,null
周姨娘,2,758.683,-821.16,null
周嫂子的儿子,3,2666.38,-1405.62,null
周氏,4,-3549.54,-2160.8,null
周琼之子,1,1328.07,-136.835,null
周瑞,2,2446.81,-1185.65,null
周瑞女儿,3,2713.62,-1069.8,null
周秀才,4,-1774.91,2260.91,null
周财主,1,-1726.93,2499.15,null
周贵人,2,218.123,-2897.97,null
周贵人父亲,3,29.7285,-2979.69,null
哥嫂侄儿,4,3591.57,241.175,null
善姐,1,-2009.75,1306.89,null
喜儿,2,-1265.96,-38.6259,null
四儿,3,2564.95,1367.86,null
圆心,4,1481.34,2358.58,null
地藏庵的圆心,1,-567.938,-122.327,null
坠儿,2,2354.21,410.45,null
墨雨,3,1845.62,867.056,null
夏三,4,-3425.18,1146.27,null
夏奶奶,1,-3197.34,1125.83,null
夏婆子,2,1563.93,1782.49,null
夏守忠,3,702.301,-2809.08,null
夏金桂,4,-2784.25,1028.2,null
多姑娘儿,1,3432.76,2341.12,null
多官,2,3256.34,2199.69,null
多浑虫父亲,3,2976.5,2136.6,null
大姑娘,4,1041.03,-3547.81,null
天子之妻,1,1094.68,3397.55,null
太上皇,2,69.8215,-3308.54,null
太妃,3,-151.817,-3325.07,null
太祖皇帝,4,-484.657,-3612.63,null
娄氏,1,-1200.52,-1879.86,null
娇杏,2,1370.69,3787.17,null
娇红,3,-1335.5,-487.533,null
媚人,4,2340.48,206.559,null
嫣红,1,-1457.75,-729.36,null
孙亲太太,2,-3049.16,-1657.16,null
孙绍祖,3,-2770.67,-1503.05,null
宋嬷嬷,4,2737.97,490.612,null
定城侯,1,-18.7018,-4124.96,null
宝珠,2,-3775.06,368.281,null
宝蟾,3,-3011.96,942.749,null
宝钗祖父,4,-1549.54,33.6876,null
寿儿,1,-2433.63,-209.893,null
小丫头子,2,-749.053,3584.91,null
小吉祥,3,731.743,-1670.1,null
小舍儿,4,-2891.78,1261.88,null
小蝉,1,1206.74,864.594,null
小螺,2,-3076.74,-883.535,null
小霞,3,2039.12,-1492.59,null
小鸠儿,4,2212.55,2216.76,null
小鹊,1,955.781,-1577.38,null
尤三姐,2,-2449.44,1398.4,null
尤二姐,3,-1838.01,1135.44,../SocialNetworkAnalist/img/yej.png
尤氏,4,-2618.71,300.927,null
尤老娘,1,-2337.8,999.165,null
平儿,2,-1329.04,1240.81,../SocialNetworkAnalist/img/pe.png
平原侯,3,-490.536,4028.22,null
庆儿,4,-959.734,969.154,null
应天府门子,1,1285.26,3467.38,null
引泉,2,1695.67,1038.44,null
张大老爷,3,-401.118,-1064.94,null
张大老爷之女,4,-164.458,-1053.77,null
张大财主,1,-3005.88,2380.1,null
张如圭,2,1785.21,3608.05,null
张嬷嬷,3,2626.08,843.322,null
张若锦,4,1856.79,1275.99,null
张金哥,1,-2813.25,2584.57,null
彩云,2,1651.01,-541.464,null
彩儿,3,-2833.3,-2299.85,null
彩屏,4,-2499.01,-2496.89,null
彩明,1,-1005.75,2216.81,null
彩霞,2,1820.67,-1310.43,null
彩霞之母,3,1829.19,-1565.1,null
彩鸾,4,1766.85,-776.052,null
戚建辉,1,-1509.29,2992.22,null
戴权,2,549.124,-2585.86,null
扫红,3,2794.42,706.328,null
扫花,4,2012.91,1432.69,null
抱琴,1,687.244,-2188.46,null
挑云,2,2078.61,445.35,null
文官,3,-601.247,-2082.4,null
文杏,4,-207.303,97.5835,null
文花,1,-2328.61,-632.846,null
新进来的奶子,2,1259.03,-2228.21,null
旺儿媳妇,3,-634.227,1999.6,null
春纤,4,1001.35,1884.3,null
昭儿,1,-1361.44,735.357,null
景田侯,2,267.602,4211.17,null
晴雯,3,2944.86,1856.44,null
智善,4,-3113.95,1975.16,null
智能,1,3400.32,1521.8,null
智能儿,2,-3607.89,1668.68,null
智通,3,-3296.18,1793.65,null
李公子,4,-2608.73,2689.19,null
李妈,1,-1826.14,1948.18,null
李婶,2,1856.86,-2817.71,null
李婶之弟,3,2063.34,-2887.28,null
李嬷嬷,4,3184.31,713.438,null
李嬷嬷孙子,1,1889.52,339.549,null
李守中,2,1909.37,-2473.42,null
李纨,3,1781.51,-2087.81,null
李纹,4,1672.5,-2758.81,null
李绮,1,1569.83,-3027.24,null
李衙内,2,-3268.57,-2623.76,null
李贵,3,3570.77,714.862,null
杏奴,4,-2490.92,1906.07,null
来喜家的,1,-1052.45,1869.33,null
来旺儿,2,-1129.6,2059.27,null
林之孝,3,-464.562,2536.15,null
林如海,4,666.876,340.512,../SocialNetworkAnalist/img/lrh.png
林如海之子,1,502.796,115.252,null
林如海之父,2,746.069,527.888,null
林如海之祖,3,452.929,352.591,null
林红玉,4,-582.816,2321.32,null
林黛玉,1,1069.83,1495.99,../SocialNetworkAnalist/img/ldy.png
柳二媳妇的妹子,2,3579.93,26.271,null
柳五儿,3,3272.58,197.102,null
柳彪,4,-1436.3,-3965.63,null
柳湘莲,1,-2497.81,1691.67,null
柳芳,2,-1272.62,-3964.7,null
梅翰林,3,-3604.52,-1025.7,null
梅翰林之子,4,-3369.48,-921.429,null
檀云,1,2371.9,1494.16,null
水溶,2,2712.46,-2793.16,null
湘云母,3,-1743.15,-3205.73,null
潘又安,4,-2707.31,-1828.15,null
炒豆儿,1,-2840.58,157.282,null
焦大,2,-1606.67,-2240.52,null
牛清,3,3001.97,-1982.13,null
牛继宗,4,2801.76,-2051.27,null
王仁,1,-256.605,1725.89,null
王住儿媳妇,2,-2993.5,-1279.69,null
王信,3,-1138.17,773.55,null
王信媳妇,4,-1172.27,1385.69,null
王公,1,142.749,775.383,null
王善保,2,-975.386,-1167.27,null
王夫人,3,1540.98,-724.456,../SocialNetworkAnalist/img/wfr.jpg
王夫人之大兄凤姐之父,4,-266.848,1492.71,null
王奶奶,1,85.3188,3215.24,null
王嬷嬷,2,1471.4,1320.76,null
王子胜,3,38.6094,1079.73,null
王子腾,4,154.358,1687.66,null
王子腾之女,1,135.79,2179.16,null
王子腾夫人,2,125.427,1920.69,null
王成,3,615.507,2228.03,null
王成父,4,445.607,1685.56,null
王板儿,1,607.888,2730.43,null
王熙凤,2,-821.775,1856.93,../SocialNetworkAnalist/img/wxf.png
王狗儿,3,812.111,2610.19,null
王老爷,4,1629.18,3826.22,null
王荣,1,2706.01,1190.22,null
王青儿,2,819.916,2844,null
玻璃,3,-867.219,-2454.63,null
珍珠,4,-406.126,-2523.66,null
琥珀,1,-536.86,-2696.38,null
瑞珠,2,-3769.99,607.662,null
甄夫人,3,1407.29,-3802.13,null
甄宝玉,4,1385.07,-3166.49,null
甄宝玉祖母,1,1160.57,-3785.82,null
甄应嘉,2,1280.06,-3560.94,null
白玉钏,3,2033.18,-904.184,null
白老媳妇,4,2296,-807.791,null
白金钏,1,2056.75,-684.708,null
皇太后,2,115.512,-3540.48,null
皇帝,3,447.446,-2771.76,null
石光珠,4,715.548,3699.32,null
碧月,1,1707.68,-2267.72,null
碧痕,2,2250.13,589.969,null
神武将军冯唐,3,-1049.81,4098.82,null
秋桐,4,-1518.98,1101.68,null
秋纹,1,2541.62,571.8,null
秦业,2,-3786.58,915.753,null
秦可卿,3,-3578,462.758,../SocialNetworkAnalist/img/qkq.png
秦思祺,4,-2520.94,-1608.77,null
秦钟,1,-3798.62,1300.15,null
篆儿,2,1036.55,249.956,null
素云,3,2036.82,-2119.41,null
紫绡,4,1664.26,751.872,null
紫鹊,1,888.796,1686.2,null
绣凤,2,1646.8,-1009.32,null
绣桔,3,-2417.25,-1210.02,null
绣鸾,4,1422.59,-952.015,null
绮霞,1,2432.58,771.096,null
缮国公,2,747.246,3884.77,null
缮国公诰命,3,820.261,4055.46,null
翠云,4,-1213.37,-885.418,null
翠墨,1,853.34,-122.076,null
翠缕,2,-2353.77,-3290.5,null
翡翠,3,-370.836,-2154.01,null
老叶妈,4,3589.82,1144.7,null
老姨奶奶,1,-126.201,-1578.7,null
老舅太太,2,-450.413,1476.44,null
老苍头,3,-2093.36,492.321,null
胡氏,4,-3650.83,-302.348,null
胡老爷,1,-3393.05,2331.1,null
胡老爷公子,2,-3198.8,2205.6,null
胡老爷太太,3,-3576.03,2177.08,null
臻儿,4,-2605.22,724.121,null
良儿,1,1922.82,625.083,null
艾官,2,883.221,-326.241,null
花自芳,3,2888.81,-407.181,null
花芳官,4,3043.45,1365.01,null
花袭人,1,2785.24,-88.9124,../SocialNetworkAnalist/img/hxr.png
芳官,2,2220.09,2676.97,null
茄官,3,-2890.21,380.224,null
茜雪,4,1930.79,1080.77,null
?官,1,-3139.53,-643.96,null
莲花儿,2,-2088.64,-1374.62,null
莺儿,3,-1.70337,199.742,null
葵官,4,-1982.55,-3551.27,null
蒋子宁,1,-496.078,4185.97,null
蒋玉菡,2,2797.92,964.032,null
蕊官,3,-447.666,62.7883,null
薛公,4,-1750.23,92.3586,null
薛公之孙,1,-1078.03,366.823,null
薛姨妈,2,-445.825,657.303,null
薛宝琴,3,-2869.42,-720.487,null
薛宝琴母,4,-1943.51,-523.609,null
薛宝琴父,1,-1834.81,-356.529,null
薛宝钗,3,-159.382,328.403,../SocialNetworkAnalist/img/xbc.png
薛蝌,4,-938.622,-326.396,null
薛蟠,1,-2049.28,685.073,null
藕官,2,1385.39,2068.61,null
花袭人之母,4,3060.15,-297.352,null
裘良,1,100.095,4217.8,null
襄阳侯,2,-1676.09,2974.17,null
西宁郡王,3,4207.4,99.1246,null
西宁郡王之孙,4,4192.28,-100.413,null
西宁郡王妃,1,4212.35,300.692,null
许氏,2,-3436.69,5.09634,null
谢鲸,3,-171.237,-4182.51,null
费婆子,4,-824.526,-1327.44,null
贾代儒,1,-1645.61,3403.39,null
贾代化,2,-2031.69,-1957.09,null
贾代善,3,-212.854,-1350.5,null
贾元春,4,680.143,-1978.66,../SocialNetworkAnalist/img/jyc.png
贾兰,1,1323.43,-2004.79,null
贾化,2,1534.88,3601.23,null
贾喜鸾,3,3037.17,2827.78,null
贾四姐,4,775.939,-4141.47,null
贾宝玉,1,2146.29,824.864,../SocialNetworkAnalist/img/jby.png
贾巧姐,2,-1629.77,1802.13,null
贾惜春,3,-2581.14,-2244.09,../SocialNetworkAnalist/img/jxc.png
贾探春,4,1089.87,-115.208,../SocialNetworkAnalist/img/jtc.png
贾政,1,960.562,-906.022,../SocialNetworkAnalist/img/jz.png
贾敏,2,391.946,-634.276,null
贾敬,3,-2269.35,-1670.15,../SocialNetworkAnalist/img/jj.png
贾敷,4,-2126.95,-2157.91,null
贾桂,1,2128.65,1163.53,null
贾母,2,-574.906,-2328.46,../SocialNetworkAnalist/img/jm.png
贾源,3,-989.584,-1758.88,null
贾演,4,-1685.1,-2054,null
贾王扁,1,2756.05,3049.49,null
贾王扁之母,2,2873.78,2910.96,null
贾环,3,640.606,-1076.77,null
贾珍,4,-2374.58,-407.245,../SocialNetworkAnalist/img/jzhen.png
贾珠,1,1377.71,-1685.95,null
贾琏,2,-1202.31,1040.33,../SocialNetworkAnalist/img/jl.png
贾琮,3,-1508.6,-1014.84,null
贾琮奶妈,4,-1641.59,-1208.92,null
贾琼,1,442.161,-4006.22,null
贾琼之母,2,598.52,-4096.89,null
贾瑞,3,-1806.32,3629.66,null
贾瑞之母,4,-1511.27,3791.37,null
贾瑞之父,1,-1599.23,3605.51,null
贾璜,2,-4062.92,-649.568,null
贾芸,3,-590.221,3434.52,null
贾芹,4,-3613.16,-2009.07,null
贾菌,1,-1392.66,-1880.14,null
贾蓉,2,-3247.08,-81.258,../SocialNetworkAnalist/img/jr.png
贾蔷,3,-1798.43,-2431.45,null
贾赦,4,-1200.23,-666.263,../SocialNetworkAnalist/img/js.png
贾迎春,1,-2230.92,-1217.06,../SocialNetworkAnalist/img/jyinc.png
贾雨村子,2,1633.77,3379.04,null
赖大,3,-2465.33,3330.11,null
赖大的女儿,4,-2337.94,3498.25,null
赖嬷嬷,1,-2662.84,3258.26,null
赖尚荣,2,-2304.57,3197.49,null
赵亦华,3,2376.89,1239.17,null
赵国基,4,515.832,-1572.61,null
赵天栋,1,674.748,1170.68,null
赵天梁,2,443.558,1281.61,null
赵姨娘,3,759.864,-1410.89,null
赵嬷嬷,4,499.894,1038.23,null
迎春乳母,1,-2704.74,-1223.9,null
通判傅试,2,1070.28,-1118.28,null
邢夫人,3,-746.954,-1009.3,../SocialNetworkAnalist/img/xfr.png
邢岫烟,4,-54.2346,-307.572,null
邢德全,1,-715.725,-817.677,null
邢忠,2,-360.561,-649.263,null
金彩,3,3882.77,-1529.95,null
金文翔,4,3542.04,-1523.97,null
金氏,1,-3896.93,-514.901,null
金荣,2,-3852.71,-221.055,null
金鸳鸯,3,-719.698,-2609.7,null
钱槐,4,518.469,-1278.77,null
银蝶,1,-2476.7,186.237,null
锄药,2,2113.78,226.566,null
锦乡侯,3,2228.68,-3506.95,null
锦乡侯诰命,4,2112.96,-3652.12,null
锦田侯诰命,1,-808.99,-4023.04,null
镇国公诰命,2,3079.04,-2171.78,null
镇国公诰命长男,3,3137.34,-1822.78,null
长安原任守备,4,-2418.14,2730.31,null
长安府府太爷,1,-3173.38,-2766.35,null
陈瑞文,2,-4265.08,91.6995,null
陈翼,3,-4252.57,264.117,null
隆儿,4,-1477.61,1367.02,null
雪雁,1,1167.05,1758.27,null
韩奇,2,2356.65,-3372.89,null
香菱,3,-2374.73,706.411,null
马尚,4,3604.88,-2148.94,null
马贩子王短腿,1,-554.522,3064.44,null
马道婆,2,-662.834,-4096.45,null
马魁,3,3526.26,-2297.3,null
鲍二,4,-1499.67,887.885,null
鸳鸯,1,3711.62,-1595.07,null
鹦鹉,2,-825.997,-2242.43,null
麝月,3,2542.5,1066.82,null
龄官,4,-1876.3,-2642.06,null
三姑娘,甄应嘉,女,1
东安郡王穆莳拜,东平郡王,子,1
丰儿,王熙凤,丫鬟,1
二姑娘,甄应嘉,女,1
于老爷,净虚,施主,1
伴鹤,贾宝玉,奴仆,1
何三,周瑞,干儿子,1
何婆,何春燕,母亲,1
何婆,芳官,干娘,1
何春燕,贾宝玉,丫鬟,1
佩凤,贾珍,妾,1
佳蕙,贾宝玉,丫鬟,1
侍书,贾探春,丫鬟,1
侯孝康,侯明,孙子,1
保宁侯之子,王子腾之女,夫,1
倪二,贾芸,友人,1
倪二女儿,倪二,女,1
倪儿娘子,倪二,妻,1
偕鸾,贾珍,妾,1
傅秋芳,傅试,妹,1
傻大姐,贾母,丫鬟,1
傻大姐的娘,傻大姐,母亲,1
入画,贾惜春,丫鬟,1
兴儿,贾琏,奴仆,1
冯紫英,神武将军冯唐,子,1
冷子兴,周瑞,女婿,1
净虚,智能儿,师父,1
凤姐之祖王夫人之父,王公,子,1
刑大舅二姐,邢夫人,妹,1
刘姥姥,刘氏,母亲,1
刘氏,王狗儿,妻,1
北静王太妃,北静郡王,儿媳,1
北静王少妃,水溶,妻,1
北静郡王长府官,水溶,臣,1
南安王太妃,南安郡王,妻,1
南安郡王之孙,南安郡王,孙子,1
卜世仁,五嫂子卜氏,兄弟,1
卜世仁娘子,卜世仁,妻,1
卜世仁店里伙计,卜世仁,伙计,1
卜银姐,卜世仁,女,1
卫若兰,史湘云,夫,1
厨房中的柳家媳妇,柳五儿,母亲,1
双寿,贾宝玉,奴仆,1
双瑞,贾宝玉,奴仆,1
史湘云,湘云母,女,1
史湘云爷爷,史侯,子,1
史鼎,史湘云爷爷,子,1
史鼎的夫人,史鼎,妻,1
史鼐,史湘云爷爷,子,1
叶茗烟,贾宝玉,奴仆,1
同喜,薛姨妈,丫鬟,1
同贵,薛姨妈,丫鬟,1
吴天佑,吴贵妃,父亲,1
吴贵,晴雯,表兄,1
吴贵妃,皇帝,妃,1
周奶妈,史湘云,乳母,1
周妈妈,周秀才,母亲,1
周姨娘,贾政,妾,1
周嫂子的儿子,周瑞,子,1
周琼之子,贾探春,夫,1
周瑞,王夫人,奴仆,1
周瑞女儿,周瑞,女,1
周秀才,贾巧姐,姐夫,1
周财主,周秀才,父亲,1
周贵人,皇帝,妃,1
周贵人父亲,周贵人,父亲,1
哥嫂侄儿,柳五儿,侄,1
善姐,尤二姐,丫鬟,1
善姐,尤二姐,丫鬟,1
喜儿,薛宝钗,丫鬟,1
喜儿,贾珍,奴仆,1
四儿,贾宝玉,丫鬟,1
坠儿,贾宝玉,丫鬟,1
墨雨,贾宝玉,奴仆,1
夏三,夏奶奶,子,1
夏奶奶,夏金桂,母亲,1
夏婆子,何春燕,姨妈,1
夏婆子,藕官,干娘,1
夏婆子,小蝉,外祖母,1
夏守忠,皇帝,臣,1
夏金桂,薛蟠,妻,1
多姑娘儿,多官,妻,1
多官,晴雯,表哥,1
多浑虫父亲,晴雯,舅,1
大姑娘,甄应嘉,女,1
天子之妻,应天府门子,妻,1
太上皇,先皇,子,1
太妃,太上皇,嫔妃,1
太祖皇帝,先皇,父亲,1
娄氏,贾源,重孙媳妇,1
娇杏,贾化,妻,1
娇红,贾赦,妾,1
媚人,贾宝玉,丫鬟,1
嫣红,贾赦,妾,1
孙亲太太,孙绍祖,母亲,1
孙绍祖,贾迎春,夫,1
宋嬷嬷,贾宝玉,奴仆,1
宝珠,秦可卿,丫鬟,1
宝蟾,夏金桂,丫鬟,1
宝钗祖父,薛公,子,1
寿儿,贾珍,奴仆,1
小丫头子,贾芸,丫鬟,1
小吉祥,赵姨娘,丫鬟,1
小舍儿,夏金桂,丫鬟,1
小蝉,贾探春,丫鬟,1
小螺,薛宝琴,丫鬟,1
小霞,彩霞,妹,1
小鸠儿,何春燕,妹,1
小鹊,赵姨娘,丫鬟,1
尤三姐,柳湘莲,女友,1
尤三姐,尤老娘,女,1
尤二姐,贾琏,妾,1
尤二姐,贾琏,妾,1
尤二姐,尤老娘,女,1
尤氏,尤老娘,女,1
尤氏,贾珍,妻,1
平儿,贾琏,妾,1
庆儿,贾琏,奴仆,1
应天府门子,贾化,子,1
引泉,贾宝玉,奴仆,1
张大老爷,邢夫人,老亲,1
张大老爷之女,张大老爷,女,1
张大财主,净虚,施主,1
张如圭,贾化,友人,1
张嬷嬷,贾宝玉,乳母,1
张若锦,贾宝玉,奴仆,1
张金哥,张大财主,女,1
彩云,王夫人,丫鬟,1
彩儿,贾惜春,丫鬟,1
彩屏,贾惜春,丫鬟,1
彩明,王熙凤,丫鬟,1
彩霞,王夫人,丫鬟,1
彩霞之母,彩霞,母亲,1
彩鸾,王夫人,丫鬟,1
戚建辉,襄阳侯,孙子,1
戴权,皇帝,臣,1
扫红,贾宝玉,奴仆,1
扫花,贾宝玉,奴仆,1
抱琴,贾元春,丫鬟,1
挑云,贾宝玉,奴仆,1
文官,贾母,丫鬟,1
文杏,薛宝钗,丫鬟,1
文花,贾珍,妾,1
新进来的奶子,贾兰,奶妈,1
旺儿媳妇,王熙凤,丫鬟,1
春纤,林黛玉,丫鬟,1
昭儿,贾琏,奴仆,1
晴雯,贾宝玉,丫鬟,1
智善,净虚,徒弟,1
智善,净虚,徒弟,1
智能儿,净虚,徒弟,1
智能儿,秦钟,女友,1
智通,净虚,徒弟,1
智通,净虚,徒弟,1
李公子,张金哥,雇主,1
李妈,贾巧姐,乳母,1
李婶,李守中,弟媳,1
李婶之弟,李婶,弟,1
李嬷嬷,贾宝玉,乳母,1
李嬷嬷孙子,贾宝玉,奴仆,1
李守中,李纨,父亲,1
李纨,贾珠,妻,1
李纹,李婶,女,1
李绮,李婶,女,1
李衙内,长安府府太爷,小舅子,1
李贵,李嬷嬷,子,1
杏奴,柳湘莲,奴仆,1
来喜家的,王熙凤,奴仆,1
来旺儿,王熙凤,奴仆,1
林之孝,林红玉,父亲,1
林如海,贾敏,夫,1
林如海之子,林如海,子,1
林如海之父,林如海,父亲,1
林如海之祖,林如海,祖父,1
