296,328,7772.77,7946.2
三姑娘,7,-684.446,-3886.51,null
丰儿,2,-889.236,2561.85,null
二姑娘,7,-291.58,-4014.84,null
于老爷,7,3491.39,1070.32,null
伴鹤,2,-683.038,-1005.98,null
何三,7,-3027.04,-828.305,null
何婆,7,-1003.56,-2898.57,null
何春燕,7,-779.029,-2388.41,null
佩凤,3,-369.133,1477.11,null
侍书,2,428.665,-2470.79,null
保宁侯之子,7,-2837.22,2419.21,null
偕鸾,3,3.48862,1652.41,null
傻大姐,2,2602.91,-319.405,null
傻大姐的娘,7,2843.34,-368.538,null
先皇,7,2960.05,-2470.09,null
入画,3,854.262,241.301,null
兴儿,2,174.088,2287.44,null
冷子兴,7,-3118.76,-976.267,null
净虚,7,3156.44,1092.99,null
凤姐之祖王夫人之父,1,-2160.25,1182.41,null
刑大舅二姐,7,1410.64,1580.56,null
刘姥姥,7,-3790.08,1374.45,null
刘氏,7,-3651.03,1501.68,null
卫若兰,7,3679.56,-1416.16,null
厨房中的柳家媳妇,7,-2097.25,-2114.07,null
双寿,2,-677.091,-1358.13,null
双瑞,2,-472.136,-1032.56,null
史侯,4,2771.96,-563.032,null
史湘云,4,3508.19,-1278.76,null
史湘云爷爷,4,3261.99,-685.369,null
史鼎,4,3593.62,-492.322,null
史鼎的夫人,4,3779.01,-385.308,null
史鼐,4,3435.35,-680.112,null
叶茗烟,2,-1695.23,-1216.68,null
同喜,5,-2531.04,703.595,null
同贵,5,-2557.35,911.753,null
吴天佑,7,2538.01,-2840.76,null
吴贵,7,-1711.53,-2646.85,null
吴贵妃,7,2429.19,-2647.55,null
周奶妈,4,3700.97,-1189.35,null
周妈妈,7,-334.86,3810.9,null
周姨娘,7,529.378,-1052.19,null
周嫂子的儿子,7,-3069.98,-1147.51,null
周琼之子,7,693.183,-2509.79,null
周瑞,2,-2792.69,-916.863,null
周瑞女儿,7,-2894.2,-1142.9,null
周秀才,7,-392.487,3577.58,null
周财主,7,-551.174,3764.1,null
周贵人,7,2159.47,-2772.32,null
周贵人父亲,7,2143.91,-3004.55,null
哥嫂侄儿,7,-2255.49,-1902.99,null
善姐,3,1017.1,3024.44,null
喜儿,3,-1077.34,1006.74,null
圆心,7,-177.824,-2719.2,null
地藏庵的圆心,7,-2604.47,242.61,null
夏三,7,-3917.69,-554.219,null
夏奶奶,7,-3853.75,-349.693,null
夏婆子,7,-357.18,-2625.47,null
夏守忠,7,2114.28,-2489.01,null
夏金桂,5,-3686.15,-9.51106,null
多姑娘儿,7,-2138.73,-3018.41,null
多官,7,-1995.14,-2815.94,null
多浑虫父亲,7,-1892.88,-2547.85,null
大姑娘,7,-539.299,-4031.2,null
太上皇,7,2696.27,-2322.85,null
太妃,7,2893.81,-2229.79,null
太祖皇帝,7,3141.33,-2519.33,null
娄氏,7,1666.07,226.574,null
娇红,2,1899.59,1207.89,null
媚人,2,-505.109,-856.432,null
嫣红,2,1785.97,1035.04,null
孙亲太太,7,2553.33,2785.84,null
孙绍祖,7,2452.06,2564.22,null
宝珠,3,-57.7914,866.212,null
宝蟾,7,-3890.97,-4.34927,null
宝钗祖父,5,-2586.16,1288.58,null
寿儿,3,-135.4,1363.68,null
小吉祥,2,1817.54,-1404.14,null
小舍儿,7,-3657.87,-190.404,null
小蝉,2,98.0783,-2610.09,null
小螺,7,-2333.51,2712.05,null
小霞,7,-1568.99,191.029,null
小鸠儿,7,-819.445,-2660.15,null
小鹊,2,1722.43,-1243.77,null
尤三姐,3,963.934,3592.06,null
尤二姐,3,808.883,2874.16,../SocialNetworkAnalist/img/yej.png
尤氏,3,271.709,2951.7,null
尤老娘,3,750.534,3279.29,null
平儿,2,557.571,2437.74,../SocialNetworkAnalist/img/pe.png
庆儿,2,372.11,2101.03,null
引泉,2,-1100.12,-644.128,null
张大老爷,7,1518.23,2102.77,null
张大老爷之女,7,1634.62,2335.36,null
张大财主,7,3416.44,1458.19,null
张若锦,2,-955.599,-794.788,null
张金哥,7,3543.64,1692.23,null
彩云,2,-1938.25,-626.561,null
彩儿,3,727.155,98.2756,null
彩屏,3,550.959,172.293,null
彩明,2,-984.065,2723.41,null
彩霞,2,-1699.49,2.39549,null
彩霞之母,7,-1851.81,134.08,null
彩鸾,2,-2015.03,-471.987,null
戴权,7,2318.77,-2200.84,null
扫红,2,-751.701,-621.948,null
扫花,2,-1150.53,-922.237,null
抱琴,2,1742.94,-2006.23,null
文官,2,2316.64,-369.585,null
文杏,7,-1782.61,640.975,null
文花,3,-209.503,1754.85,null
新进来的奶子,7,1484.38,-2691.06,null
旺儿媳妇,2,-849.888,2835.89,null
春纤,2,153.88,-1723.49,null
昭儿,2,728.702,2308.06,null
晴雯,2,-1680.15,-2345.4,null
智善,7,3308.62,999.954,null
智能儿,7,2764.97,1016.09,null
智通,7,3077.18,1264.81,null
李公子,7,3562.23,1912.2,null
李妈,7,-312.211,3238.1,null
李婶,7,641.3,-3657.27,null
李婶之弟,7,647.605,-3850.04,null
李嬷嬷,2,-1395.13,-1641.61,null
李嬷嬷孙子,2,-1309.03,-1294.86,null
李守中,7,896.399,-3383.61,null
李纨,2,1119.32,-3011.3,null
李纹,7,834.768,-3750.01,null
李绮,7,276.08,-3782.13,null
李贵,7,-1570.71,-1886.66,null
杏奴,7,1302.45,3834.43,null
来喜家的,2,-566.343,2719.68,null
来旺儿,2,-687.321,2879.66,null
林之孝,7,-1183.55,3323.49,null
林如海,6,787.167,-1430.65,../SocialNetworkAnalist/img/lrh.png
林如海之子,6,773.816,-1642.51,null
林如海之父,6,1006.59,-1458.68,null
林如海之祖,6,973.642,-1649.61,null
林红玉,2,-1034.14,3095.34,null
林黛玉,6,-65.3386,-1719.89,../SocialNetworkAnalist/img/ldy.png
柳二媳妇的妹子,7,-2267.34,-2094.53,null
柳五儿,2,-1964.17,-1848.7,null
柳湘莲,7,1137.7,3766.3,null
梅翰林,7,-2197.25,3149.76,null
梅翰林之子,7,-2207.69,2933.81,null
檀云,2,-759.427,-834.6,null
湘云母,4,3385.6,-990.496,null
潘又安,7,2827.09,2387.82,null
炒豆儿,3,412.47,3189.21,null
焦大,3,1218.54,531.939,null
王仁,1,-1770.86,2292.37,null
王住儿媳妇,7,2135.16,2876.11,null
